faq_url,page_url,page,question,summary,quick_summary
https://admin.examine.com/content/faqs/11/edit,https://admin.examine.com/content/categories/12/edit,Cancer,Which physician specialties are involved in treating cancer?,"Hematologists are physicians who specialize in blood based cancers. Oncologists deal with solid tumor cancers. Radiologists specialize in radiation treatment. Surgeons specialize in surgical treatments. Medical oncologists specialize in chemotherapy, hormone therapy, biologics therapy, and immunotherapies.",
https://admin.examine.com/content/faqs/12/edit,https://admin.examine.com/content/categories/23/edit,Cardiovascular Health,What does cardiovascular health encompass?,"Cardiovascular health describes how well, or how poorly, the heart (“cardio-”) and blood vessels (“-vascular”) move blood throughout the body. Conditions like [coronary artery disease] and [atherosclerosis] are commonly associated with cardiovascular health. However, not all cardiovascular diseases have to do with clogged and hardened blood vessels. For example, [Raynaud's disease], [varicose veins],[reference|url=https://medlineplus.gov/vasculardiseases.html|title=Medline Plus: Vascular Diseases. Accessed 5/30/22] and [congenital heart diseases][reference|url=https://medlineplus.gov/heartdiseases.html|title=Medline Plus: Heart Diseases. Accessed 5/30/22] are also categorized under cardiovascular health. Metrics like [heart rate variability] and [resting heart rate] are also linked to cardiovascular health to some degree, but their significance is still being explored.[PMID:30919689][PMID:34803382]",
https://admin.examine.com/content/faqs/13/edit,https://admin.examine.com/content/categories/23/edit,Cardiovascular Health,How could diet affect cardiovascular health?,"Diet can have major potential effects on cardiovascular health, although the specifics depend on the aspect of health in question. For example, there’s strong evidence to suggest that a diet low in salt and high in [fruits], [vegetables], [whole grains], and [fish][PMID:30879355] like the [Mediterranean diet][PMID:34458905] is effective for the prevention of atherosclerotic cardiovascular disease, and diets high in [nitrate]-containing foods like [beetroot] juice, [kale], and [spinach] may have the potential to improve cardiovascular aspects of athletic performance, although the magnitude of these effects for high-performing athletes is questionable.[PMID:29101174]",
https://admin.examine.com/content/faqs/14/edit,https://admin.examine.com/content/categories/23/edit,Cardiovascular Health,Which supplements are of most interest for cardiovascular health?,"[Fish oil] has been particularly well studied in the context of cardiovascular health. Several vitamins like [folic acid], [vitamin D], and [vitamin E] have also been investigated, as have plant-based supplements like [pycnogenol] and high-[nitrate] [beetroot] juice. [Red yeast rice] can lower cholesterol, although any supplement with high levels of its active ingredient (lovastatin) cannot be sold legally in the United States. In contrast, some evidence suggests that [calcium] supplementation may *negatively* affect cardiovascular health.[PMID:33530332]",
https://admin.examine.com/content/faqs/15/edit,https://admin.examine.com/content/categories/23/edit,Cardiovascular Health,"If I have a heart condition, can I still have caffeine?","In healthy adults, [caffeine] intake of up to 400 mg per day has not been linked to increases in cardiovascular disease risk.[PMID:28438661][PMID:29167102] However, the evidence is uncertain regarding the long-term effects of regular caffeine intake for people with [high blood pressure] or pre-existing heart conditions.[PMID:28438661][PMID:30067480] This also applies to people for whom [#stimulants|stimulants] in general are not recommended. Low to moderate intake may be generally safe, but this must be assessed on a case-by-case basis in consultation with a physician.",
https://admin.examine.com/content/faqs/16/edit,https://admin.examine.com/content/categories/23/edit,Cardiovascular Health,Should I modify how I exercise based on my cardiovascular disease risk factors?,"Different types of [cardiovascular disease (CVD)](https://examine.com/topics/cardiovascular-disease-risk/) may benefit most from different amounts, types, or doses of exercise, and major guidelines don’t provide such tailored advice. In 2018, a team of experts created a system called the *EX*ercise *P*rescription in *E*veryday practice & *R*ehabilitative *T*raining (EXPERT) tool to help clinicians give their patients tailored exercise advice based on their needs.The team released a consensus statement that provides specific exercise recommendations for several cardiovascular risk states based on the evidence they considered.[PMID:29729003] Some of the team’s recommendations are summarized below.Each recommendation is accompanied by a grade denoting the level of the recommendation.“*A*” indicates the recommendation is supported by high-quality systematic reviews or randomized controlled trials that are directly relevant for the population at hand.“*B*” indicates high-quality observational evidence or inference from randomized trials supports the recommendation.“*C*” indicates the recommendation is supported by well-conducted case-control or cohort studies with overall consistent results that could be applicable to the target population.“*D*” indicates the recommendation is supported by poorer-quality observational evidence, inference from higher-quality observational evidence, or expert opinion.[img|https://examine.nyc3.digitaloceanspaces.com/files/images/PAxfQMn4JJrmlxGXuCl2ZvUtB6hXxqxotc7v0wfa.png|title=Exercise recommendations by CVD risk factors]<small>*Reference: *Hansen et al. *Sports Med*. 2018.[PMID:29729003]</small>",
https://admin.examine.com/content/faqs/17/edit,https://admin.examine.com/content/categories/26/edit,Brain Health,What does brain health encompass?,"The brain is the body's command center, controlling functions like movement and [cognition], which includes problem-solving, memory, and information processing. Maintaining brain health usually involves preventing the development of neurologic conditions like [Alzheimer’s disease], [epilepsy], [brain injury], and [Parkinson’s disease]. The World Health Organization (WHO) defines brain health as “a state in which every individual can realize their own abilities and optimize their cognitive, emotional, psychological, and behavioral functioning to cope with life situations.” [reference|url=https://www.who.int/health-topics/brain-health#tab=tab_1|title=The content of this page was partially adapted from the World Health Organization Accessed 17 May 2022]",
https://admin.examine.com/content/faqs/18/edit,https://admin.examine.com/content/categories/26/edit,Brain Health,How could diet affect brain health?,"Following a balanced and nutrient-dense diet has a positive effect on brain health and function. The [Mediterranean Diet], [Dietary Approaches to Stop Hypertension (DASH)], and [Mediterranean-DASH Intervention for Neurodegenerative Delay (MIND)] diets are associated with reduced [cognitive decline] and reduced risk for developing [Alzheimer’s disease].[PMID:31209456] Foods like [lean meats], [fruits and vegetables], [whole grains], nuts, seeds, and [fish] have positive effects on brain health. In contrast, diets rich in [saturated fat], [sugar], and [processed food] can impair brain health.",
https://admin.examine.com/content/faqs/19/edit,https://admin.examine.com/content/categories/26/edit,Brain Health,Which supplements are of most interest for brain health?,"Common supplement ingredients for improving [cognition] include [alpha GPC], [Bacopa monnieri], [blueberry], [caffeine], [Ginkgo biloba], [ginseng], [Huperzine A], [oxiracetam], and [theanine]. Optimal nutrient intake is also important for maintaining brain health, particularly [iodine], [zinc], [copper], [vitamin B1], [vitamin B3], [vitamin B12], and [folic acid]. Supplementation with these nutrients may be advised if dietary intake is inadequate.",
https://admin.examine.com/content/faqs/20/edit,https://admin.examine.com/content/categories/26/edit,Brain Health,Is a keto diet or supplemental ketones useful for treating cognitive decline?,"One major factor in [cognitive decline] is that the brain can fail to obtain enough energy to function properly, be it from vascular problems or [insulin resistance].[PMID:26704177][PMID:28154105][PMID:29743868] A [keto diet] is believed to provide a neuroprotective benefit by reducing oxidative stress and increasing mitochondrial respiration.[PMID:30650523]A keto diet is also believed to provide benefits by reducing the oxidation of glucose and leading to calorie restriction,[PMID:30650523] neither of which would necessarily be achieved through the use of exogenous ketone supplements. The few studies available on people with [Alzheimer’s disease](https://medlineplus.gov/alzheimersdisease.html) suggest that a ketogenic diet may provide potential benefits, but ultimately needs to overcome a brain energy deficit.[PMID:27458340] By this logic, exogenous ketones could be beneficial by allowing both [glucose] and [ketones] to act as fuel sources for the brain.Research investigating the role of [exogenous ketones] in neurodegenerative diseases and [cognitive decline] is lacking. What studies are available test cognitive function in healthy adults after a bout of endurance exercise. These studies suggest that supplementing with exogenous ketones either benefits cognitive function when combined with [carbohydrates], as compared with carbohydrates alone,[PMID:29944604] or provide no benefit when taken alone, as compared with a noncaloric placebo.[PMID:29451991]",
https://admin.examine.com/content/faqs/21/edit,https://admin.examine.com/content/categories/26/edit,Brain Health,What is brain-derived neurotrophic factor (BDNF)?,"Brain-derived neurotrophic factor ([BDNF]) is a member of the [neurotrophin][PMID:26611762] family, a group of growth factors that are specific to nervous tissue and are known to regulate many cellular processes involved in survival, proliferation, and maturation of certain neurons. Principally known for its role in learning and memory,[PMID:31440144] BDNF touches upon several brain functions,[PMID:26788077] including neurogenesis, synaptic plasticity (the ability of connections between neurons to strengthen or weaken over time), neuroprotection, [inflammation], [immunity], and energy metabolism.[PMID:24361004] BDNF has been inversely associated with neurodegenerative (e.g., [Alzheimer’s disease], [Parkinson’s disease]) and metabolic disease (e.g., [obesity], [diabetes]), as well as [stress], and can be modulated by lifestyle habits (e.g., exercise, diet).",
https://admin.examine.com/content/faqs/22/edit,https://admin.examine.com/content/categories/26/edit,Brain Health,Is there any evidence regarding the effects of breakfast on cognition or mental tasks?,"The evidence surrounding this topic is equivocal and methodologically heterogeneous. Some studies involving healthy adults[PMID:27184286] suggest a small benefit of consuming breakfast for memory, specifically regarding particularly delayed recall, which involves reproducing information learned about 15–45 minutes prior. However, overall, no cognitive differences after skipping breakfast are observed.As with other research on breakfast consumption, these studies are acute and do not differentiate between people who habitually eat breakfast and people who do not. Thus, it’s possible that the memory effects are simply due to the fact that people who habitually eat breakfast are not physiologically adapted to skipping it. Nevertheless, it is worth pointing out that there is no strong evidence favoring breakfast for cognition, as it is commonly believed.",
https://admin.examine.com/content/faqs/23/edit,https://admin.examine.com/content/categories/7/edit,Diabetes & Blood Sugar,What are the basics of diabetes and blood sugar?,"Glucose is obtained by ingesting food, primarily [carbohydrates], but also [fat] and [protein]. The blood carries glucose to energy-requiring tissues throughout the body, where it is broken down into [ATP], which fuels a wide variety of bodily processes.[PMID:31424785]Diabetes is a disease characterized by blood glucose levels that are too high.[reference|url=https://medlineplus.gov/|title=The content of this page was partially adapted from MedlinePlus of the National Library of Medicine] In [type 1 diabetes], the immune system  destroys the pancreatic beta cells that produce [insulin], a hormone that tells the cells to absorb glucose and use it for energy. In [type 2 diabetes], the body still produces insulin, but not enough to meet metabolic needs, typically because the body’s cells have developed resistance to that insulin.[PMID:32809434]",
https://admin.examine.com/content/faqs/24/edit,https://admin.examine.com/content/categories/7/edit,Diabetes & Blood Sugar,How could diet affect diabetes and blood sugar?,"Diet, primarily carbohydrates, directly affects blood glucose levels. Consequently, [low-carbohydrate diets] can help to improve acute [glycemic control] and reduce total daily [insulin] requirements in people with diabetes,[PMID:32425450] but these diets are often difficult to adhere to, and don’t appear to be superior to [high-carbohydrate] diets for blood sugar regulation in the long term.[PMID:30098129][PMID:29522789] The current evidence suggests there is no ideal macronutrient distribution or eating pattern for people with diabetes, and the diet should be tailored to the individual.[PMID:31000505]",
https://admin.examine.com/content/faqs/25/edit,https://admin.examine.com/content/categories/7/edit,Diabetes & Blood Sugar,Which supplements are of most interest for diabetes and blood sugar?,"A wide variety of supplements are marketed to improve glycemic control, including [berberine], [cinnamon], [probiotics], [aloe vera], and [panax ginseng].Also, vitamins and minerals that are involved in glucose metabolism, and deficiencies have been associated with an increased risk of diabetes. As such, [zinc], [magnesium], [chromium], and [vitamin D] have garnered immense interest in the context of blood sugar.",
https://admin.examine.com/content/faqs/26/edit,https://admin.examine.com/content/categories/7/edit,Diabetes & Blood Sugar,Can insoluble fiber supplements help control blood sugar?,"The most commonly used [insoluble fiber] supplement is [wheat fiber]. However, it hasn’t been studied enough under well-controlled conditions for researchers to have a full understanding of its effects, and the existing body of research does not clearly support its use for [blood sugar] management.[reference|url=https://www.researchgate.net/publication/267974496_Effect_of_wheat_bran_on_diabetic_subjects|title=Effect of wheat bran on diabetic subjects|authors=Haripriya S, Premakumari S|pulished=2010 JAN|journal=INDJSRT][PMID:12196421][PMID:24919604] The same goes for studies on isolated [arabinoxylan], the dominant form of fiber in wheat.[PMID:15042130][PMID:17111305]",
https://admin.examine.com/content/faqs/27/edit,https://admin.examine.com/content/categories/7/edit,Diabetes & Blood Sugar,Can diabetes and blood sugar change over time?,"[Blood glucose] levels increase after eating and return to baseline within a few hours. The amount by which blood glucose rises after eating is largely determined by meal composition, prior physical activity, and the time of day because glucose tolerance (i.e., how well the body resists spikes in blood glucose after eating) peaks in the morning and declines in the afternoon and evening.[PMID:29195759] Glucose tolerance also tends to decline with age.[PMID:30355075]Lifestyle changes can lead to a remission of [type 2 diabetes]. Following specific diets (e.g., low-carb, vegan, fasting) probably isn’t that important, so long as the chosen eating plan facilitates a sustained, moderate calorie deficit that results in weight loss (sometimes as little as 5%–10% of original body weight) and a reduction in intra-organ fat.[PMID:34233884][PMID:20960555][PMID:10999971] In fact, given that weight loss and maintenance is so challenging, people who are seeking to improve their type 2 diabetes with weight loss should simply focus on dietary patterns that are realistic, sustainable, and as mentally and emotionally healthy as possible. Even if weight loss isn’t attainable, physical activity alone can improve some key measures of type 2 diabetes, such as [HbA1c].[PMID:11559268] That said, these benefits are still most pronounced when there’s a simultaneous increase in physical activity and decrease in body weight.[PMID:17876019]",
https://admin.examine.com/content/faqs/28/edit,https://admin.examine.com/content/categories/7/edit,Diabetes & Blood Sugar,Who is most at risk for diabetes?,"The main cause of [type 2 diabetes] is excess fat accumulation in the liver and pancreas, which leads to [insulin resistance] and inadequate [insulin] production.[PMID:31097391] Consequently, people with [overweight] or [obesity] are at an increased risk of type 2 diabetes, especially if they have an upper body and visceral fat storage pattern.[PMID:34986330][Type 1 diabetes], formerly called juvenile diabetes, is ultimately an [autoimmune disease], though it is often heritable and influenced by multiple genes,[PMID:29916386] with the highest incidences reported in Finland and other Northern European nations.[PMID:29939535] Environmental triggers, such as exposure to certain viruses (e.g., enterovirus) and nutritional factors, may also increase the risk of type 1 diabetes.[PMID:31534209] The reason why some people develop type 1 diabetes is not fully known, but the evidence is at least clear that it is caused by autoimmune destruction of the beta cells, often after a viral infection.",
https://admin.examine.com/content/faqs/29/edit,https://admin.examine.com/content/categories/7/edit,Diabetes & Blood Sugar,Why is HbA1c a marker for uncontrolled diabetes?,"When blood sugar levels are chronically elevated due to uncontrolled diabetes, red blood cells are exposed to high levels of glucose molecules. Glucose in the bloodstream will irreversibly attach itself to hemoglobin molecules at levels substantially higher than in blood without elevated blood sugar. The percentage of these “glycated” hemoglobin molecules can be measured, and the levels are used to assess how well an individual is managing their disease and whether they are at an increased risk for cardiovascular complications. [HbA1c] can be used to measure disease state. The “Hb” stands for hemoglobin, and the “A1c” is simply the type of hemoglobin that glucose attaches to. Ninety percent of hemoglobin is the “A” or “Adult” type, and “A1c” is one of the minor components of hemoglobin, which also includes A1b, A1a1, and A1a2. The key reason why HbA1c is a better marker than glucose for chronic exposure is that [blood glucose] is very transient, whereas the half life of HbA1c is about 3 months. Although HbA1c is indicative of longer-term blood sugar levels up to 3 or more months, it is likely somewhat more weighted toward blood sugar levels during the previous 2 to 4 weeks.",
https://admin.examine.com/content/faqs/30/edit,https://admin.examine.com/content/categories/7/edit,Diabetes & Blood Sugar,How can insulin resistance be measured?,"There are many ways[PMID:25593845] to measure [insulin resistance]. The gold standard is the euglycemic hyperinsulinemic clamp. In this technique, [insulin] is infused into a vein to reach a constant level in the blood. Because insulin is being pumped into the blood, the person has artificially high insulin, or hyperinsulinemia. Simultaneously, glucose is also infused at a varying rate until the blood glucose level stabilizes at a normal level. When a person’s blood glucose is normal, it is called euglycemia (the Greek root “eu-” means “good”). At this point, the rate of glucose infusion exactly equals the amount being taken up by the body’s tissues, which is a direct measure of insulin sensitivity. The more glucose that has to be infused to maintain euglycemia, the more it’s being taken up, meaning the tissue is more sensitive to insulin. The problem with this technique is that it takes a couple of hours to complete and is relatively expensive. In response, lower cost and easier to use methods of estimating insulin resistance have been developed. Two major methods are [glossary:HOMA-IR] and QUICKI. Both require only a single blood draw in order to measure fasting glucose and C-peptide, a byproduct of insulin synthesis. These values are then plugged into an equation that estimates insulin sensitivity. However, these estimations aren’t perfect.",
https://admin.examine.com/content/faqs/31/edit,https://admin.examine.com/content/categories/7/edit,Diabetes & Blood Sugar,What are the long-term complications of diabetes?,Long term complications of type 1 and type 2 diabetes include the following: - [Heart disease]- [Stroke] - Blindness- [Kidney failure] requiring dialysis- [Peripheral vascular disease] leading to limb amputation- [Dementia]- Nerve damage,
https://admin.examine.com/content/faqs/32/edit,https://admin.examine.com/content/categories/27/edit,"Ear, Nose & Throat","What is the relationship between the ear, nose, and throat?","The ear, nose, and throat are all interconnected parts of the body and control the functions of balance, smelling, speech, swallowing, and hearing. The ears are connected to the throat through a passageway called the Eustachian tubes, which balance air pressure and drain fluid internally from the ear. The nose is directly connected to the throat (referred to as the pharynx) to help with breathing. Conditions such as [allergic rhinitis], [tinnitus], [vertigo], and [throat infections] can affect ear, nose, and throat health.",
https://admin.examine.com/content/faqs/33/edit,https://admin.examine.com/content/categories/27/edit,"Ear, Nose & Throat","How could diet affect the ear, nose, and throat?","Anecdotally, some people have reported improvements in various conditions involving the ear, nose, and throat after dietary changes. Although there is some evidence to suggest there is an association between dietary interventions and a reduced risk of hearing problems[PMID:31356390] and [allergic rhinitis],[PMID:32524629] further research is needed to determine specific dietary recommendations.",
https://admin.examine.com/content/faqs/34/edit,https://admin.examine.com/content/categories/27/edit,"Ear, Nose & Throat","Which supplements are of interest for the ear, nose, and throat?","Notable supplements that may help with allergic rhinitis include [probiotics],[PMID:25899251] [pelargonium sidoides], and [spirulina]. [vitamin c],[PMID:23440782] [zinc],[PMID:34728441] and [probiotics][PMID:24780623] may be helpful for treating or preventing [upper respiratory infections]. [melatonin] may provide benefits in the context of [tinnitus].",
https://admin.examine.com/content/faqs/35/edit,https://admin.examine.com/content/categories/27/edit,"Ear, Nose & Throat","What type of healthcare provider should someone see for concerns related to the ear, nose, and throat?","Otolaryngologists, commonly known as ear, nose, and throat (ENT) doctors, specialize in the care of special conditions related to the ear, nose, and throat. This type of physician specializes in medical and surgical care related to the ear, nose, throat, head, and neck. Some ENT doctors may also obtain further specialization in related areas such as facial reconstruction, sleep medicine, or laryngology (throat and voice disorders).",
https://admin.examine.com/content/faqs/36/edit,https://admin.examine.com/content/categories/28/edit,Energy & Fatigue,What does energy and fatigue encompass?,"[Fatigue] is generally defined as extreme tiredness due to exertion or illness, whereas energy refers to the actual or perceived ability to power physical and mental activity. Fatigue in exercise science is slightly different: fatigue is characterized as diminished output in response to sustained effort.[PMID:28983090] The broad topic of fatigue and energy is related to nutrient status, metabolism and energetics (i.e. mitochondria function), exercise, physiology, psychology, neurobiology, oxidative stress, [inflammation], [sleep], and many body systems. Fatigue can be as mild as feeling tired regularly, or as extreme as the disabling fatigue indicative of a severe medical condition (i.e. chronic fatigue syndrome (CFS), also known as [ME/CFS]).[PMID:25695122]",
https://admin.examine.com/content/faqs/37/edit,https://admin.examine.com/content/categories/28/edit,Energy & Fatigue,How could diet affect energy and fatigue?,"Food choice is foundational for sustaining energy, as calories are metabolized into ATP, the primary source of energy that fuels cell needs. Healthy, nutrient dense dietary patterns support the energetic demands of life, prevent conditions that increase risk for [fatigue], and have been used in studies to reduce fatigue and increase energy.[reference|url=https://www.cdc.gov/chronicdisease/resources/publications/factsheets/nutrition.htm|title=Poor Nutrition|published=2022 May|authors=Centers for Disease Control and Prevention][PMID:27913933] Some foods contain nutrients at doses shown to support energy and resist fatigue either in general (e.g., [iron] in [red meat]) or during exercise (e.g., [nitrates] in [spinach]).[PMID:27075914]",
https://admin.examine.com/content/faqs/38/edit,https://admin.examine.com/content/categories/28/edit,Energy & Fatigue,Which supplements are of most interest for energy and fatigue?,"Getting enough essential vitamins and minerals (e.g., [iron] for blood cell function, [B-complex] vitamins for metabolism support) is foundational in any approach designed to address fatigue, which means that supplementation can be beneficial if the diet does not provide enough of these nutrients.The most common supplements used for increasing mental and physical energy are stimulants (e.g., [caffeine], [guarana]). Supplements that improve cognitive function, like [nootropics](https://examine.com/supplements/cognitive-function/), are also related to increasing energy.Supplements that increase [endurance](https://examine.com/topics/muscular-endurance/), support [fatigue resistance], promote [stress tolerance](https://examine.com/topics/mood/), or have another effect on enhancing exercise (such as ergogenics) are relevant to energy and fatigue.",
https://admin.examine.com/content/faqs/39/edit,https://admin.examine.com/content/categories/28/edit,Energy & Fatigue,Who is most at risk for fatigue?,"People with chronic conditions, taking certain medicines, receiving medical treatments like chemotherapy and radiation, or recovering from major surgery, injury, or illness are at high risk for fatigue. Risk for everyday fatigue increases when sleep onset occurs later than usual, with circadian disruption, and after drinking too much [alcohol]. Other populations at risk for fatigue include people losing weight, older adults, shift workers, and women, especially women who are pregnant.[reference|url=https://medlineplus.gov/fatigue.html/|title=The content of this page was partially adapted from MedlinePlus of the National Library of Medicine]",
https://admin.examine.com/content/faqs/40/edit,https://admin.examine.com/content/categories/28/edit,Energy & Fatigue,What are energy drinks good for?,"The International Society of Sports Nutrition’s position statement on energy drinks[PMID:23281794] suggests that the main ergogenic (athletic enhancing) ingredients are [caffeine] and [sugar]. Caffeine provides mental focus, alertness, and improves performance while sugar provides quick energy. A review confirms this position and presents some evidence to support improvements in cognitive performance from energy drinks, but suggests there are adverse effects (metabolic, dental, [sleep], [stress], and more) that may outweigh the positives.",
https://admin.examine.com/content/faqs/41/edit,https://admin.examine.com/content/categories/29/edit,Eyes & Vision,What are the basics of eyes and vision?,"Vision is dependent on the ability of eyes to focus and convert light into electrical signals, which then travel along the optic nerve to the brain to be processed into images.[PMID:30860728] Light initially passes through the cornea at the front of the eye, then through an opening called the pupil, the size of which is controlled by the iris, the colored part of the eye. Light then passes through the lens, which focuses the light on the retina, a structure at the back of the eye containing photoreceptor cells that turn the light into electrical signals to be picked up by the optic nerve.[reference|url=https://www.nei.nih.gov/learn-about-eye-health/healthy-vision/how-eyes-work|title=How the Eyes Work|authors=National Eye Institute|published=2022-04-20]Major eye-related conditions include [age-related macular degeneration] (the macula is the part of the retina responsible for clear vision), [glaucoma], [cataract] (i.e., a clouding of the lens), [diabetic retinopathy] (i.e., damage to the blood vessels of the retina due to diabetes), and [dry eye].",
https://admin.examine.com/content/faqs/42/edit,https://admin.examine.com/content/categories/29/edit,Eyes & Vision,How could diet affect eyes and vision?,"An adequate intake of vitamins, minerals, and essential fatty acids, especially [vitamin-c], [vitamin-e], [vitamin-a], [zinc], and [omega-3 fatty acids], is crucial for eye health.[PMID:26903189] Vitamin A deficiency leads to [night blindness] and eventually permanent blindness, if left untreated. The carotenoids [lutein] and [zeaxanthin] also support optimal eye health. Dietary patterns rich in [fruit-and-vegetable] (especially dark leafy greens and yellow- and orange-colored fruits and vegetables), [fatty fish], [nuts], and [legumes] are generally associated with a reduced risk of eye disease.[PMID:32962100]",
